CODE,DESC,TYPE,VALUE,POS,BRANCH
99,8% Cam Norte Capitol,SUBTOTAL PERCENT,8.000,1,IRIGA
100,8% LGU Talisay,SUBTOTAL PERCENT,8.000,1,IRIGA
101,1000MAX CNPPO,SUBTOTAL AMOUNT,1000.000,1,IRIGA
102,1000MAX CNC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
103,1000MAX LGU Talisay,SUBTOTAL AMOUNT,1000.000,1,IRIGA
104,20% OFF OTS EMP,SUBTOTAL PERCENT,20.000,1,IRIGA
105,8% BICOL ENT,SUBTOTAL PERCENT,8.000,1,IRIGA
106,8% CNSC,SUBTOTAL PERCENT,8.000,1,IRIGA
107,8% DEPED BICOL,SUBTOTAL PERCENT,8.000,1,IRIGA
108,8% PCG BICOL,SUBTOTAL PERCENT,8.000,1,IRIGA
109,1000MAX PCG BICOL,SUBTOTAL AMOUNT,1000.000,1,IRIGA
110,1000MAX DEPED BICOL,SUBTOTAL AMOUNT,1000.000,1,IRIGA
111,1000MAX CNSC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
112,1000MAX BICOL ENT,SUBTOTAL AMOUNT,1000.000,1,IRIGA
113,8% NYD 2025 ENT,SUBTOTAL PERCENT,8.000,1,IRIGA
114,1000MAX NYD2025,SUBTOTAL AMOUNT,1000.000,1,IRIGA
115,FREE PJ LSM,ITEM PERCENT,100.000,1,IRIGA
DC13,100% OFF BDAY DISC,SUBTOTAL PERCENT,100.000,1,IRIGA
DC14,VDAY DISCOUNT,SUBTOTAL PERCENT,100.000,1,IRIGA
DC15,P84 OFF SPAG PJ,SUBTOTAL AMOUNT,84.000,1,IRIGA
DC16,P79 OFF TUNASND PJ,SUBTOTAL AMOUNT,79.000,1,IRIGA
DC17,P79 OFF CCB PJ,SUBTOTAL AMOUNT,79.000,1,IRIGA
DC18,P59 OFF FRIES PJ,SUBTOTAL AMOUNT,59.000,1,IRIGA
DC26,8% CORP PARTNER DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
DC27,1000MAX CORPPART DIS,SUBTOTAL AMOUNT,1000.000,1,IRIGA
DC28,5% BULK ORDER DISC,SUBTOTAL PERCENT,5.000,1,IRIGA
