INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
DEL96,CHKN POTATO SOUP,CHKN POTATO SO,18,55.000,PC,12.000,5.890,9.333333,1,IRIGA
DEL97,CB SOUP,CB SOUP,18,55.000,PC,12.000,5.890,9.330000,1,IRIGA
DEL98,TO CAJUN,TO CAJUN,18,25.000,PC,12.000,1.610,9.333333,1,IRIGA
DEL99,PLAIN TO JAVA,PLAIN TO JAVA,18,30.000,PC,12.000,2.140,9.333333,1,IRIGA
DEL100,PLAIN TO FRIED,PLAIN TO FRIED,18,10.000,PC,12.000,1.070,9.333333,1,IRIGA
DEL102,TO GARLIC RICE,TO GARLIC RICE,18,15.000,PC,12.000,1.610,9.333333,1,IRIGA
DEL103,GARLIC TO JAVA,GARLIC TO JAVA,18,20.000,PC,12.000,1.610,9.333333,1,IRIGA
DEL106,DELIVERY CHARGE,DELIVERY CHARG,18,29.000,PC,12.000,3.110,9.333333,1,IRIGA
DEL107,TOKWAT BABOY,TOKWAT BABOY,18,119.000,PC,12.000,7.070,9.333333,1,IRIGA
DEL108,PLAIN RICE,PLAIN RICE,18,39.000,PC,12.000,3.210,9.333333,1,IRIGA
DEL109,JAVA RICE,JAVA RICE,18,45.000,PC,12.000,4.290,9.333333,1,IRIGA
DEL110,HASH BROWN,HASH BROWN,18,59.000,PC,12.000,3.110,9.333333,1,IRIGA
DEL111,FRIED RICE,FRIED RICE,18,40.000,PC,12.000,3.750,9.333333,1,IRIGA
DEL112,FRIED EGG,FRIED EGG,18,25.000,PC,12.000,2.140,9.333333,1,IRIGA
DEL113,FRENCH FRIES,FRENCH FRIES,18,109.000,PC,12.000,5.890,9.330000,1,IRIGA
DEL114,BACON,BACON,18,60.000,PC,12.000,5.890,9.333333,1,IRIGA
DEL115,ATCHARA,ATCHARA,18,30.000,PC,12.000,2.140,9.333333,1,IRIGA
DEL116,1PC CORDON,1PC CORDON,18,120.000,PC,12.000,10.610,9.333333,1,IRIGA
DEL117,1PC CHICKEN,1PC CHICKEN,18,95.000,PC,12.000,9.860,9.333333,1,IRIGA
DEL118,MAYO,MAYO,18,15.000,PC,12.000,1.070,9.333333,1,IRIGA
DEL119,LAING,LAING,18,40.000,PC,12.000,4.290,9.333333,1,IRIGA
DEL120,FRENCH BREAD,FRENCH BREAD,18,35.000,PC,12.000,0.960,9.333333,1,IRIGA
DEL122,BOILED EGG,BOILED EGG,18,25.000,PC,12.000,2.140,9.333333,1,IRIGA
DEL123,1PC  KEBAB,1PC  KEBAB,18,89.000,PC,12.000,8.040,9.333333,1,IRIGA
DEL124,GRAVY,GRAVY,18,20.000,PC,12.000,1.710,9.333333,1,IRIGA
DEL125,1PC CAJUN CHKN,1PC CAJUN CHKN,18,99.000,PC,12.000,10.390,9.333333,1,IRIGA
DEL127,CHICHARON,CHICHARON,18,20.000,PC,12.000,1.610,9.333333,1,IRIGA
DEL128,HERB MAYO,HERB MAYO,18,40.000,PC,12.000,3.750,9.333333,1,IRIGA
DEL129,CHKN POPERS,CHKN POPERS,18,59.000,PC,12.000,5.890,9.333333,1,IRIGA
DEL130,SUGAR,SUGAR,18,10.000,PC,12.000,0.540,9.333333,1,IRIGA
DEL131,CREAMER,CREAMER,18,10.000,PC,12.000,0.640,9.333333,1,IRIGA
DEL133,PORKCHOP,PORKCHOP,18,120.000,PC,12.000,9.640,9.333333,1,IRIGA
DEL134,CHEESE FRITTERS,CHEESE FRITTER,18,60.000,PC,12.000,5.890,9.333333,1,IRIGA
DEL37,BACON BURGER,BACON BURGER,18,184.000,PC,12.000,10.610,9.333333,1,IRIGA
HC1,BIGG1,BIGG1,42,249.000,PC,12.000,26.680,9.333333,1,IRIGA
HC2,BIGG2,BIGG2,42,249.000,PC,12.000,26.680,9.333333,1,IRIGA
HC3,BIGG3,BIGG3,42,255.000,PC,12.000,27.320,9.333333,1,IRIGA
HC4,BIGG4,BIGG4,42,259.000,PC,12.000,27.750,9.333333,1,IRIGA
